,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,117,Mauritania,Sub Saharan Africa,62.6,4.7,18.0,2.5,37%,41.5,4.5,18.0, $1283 , 3777067 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63,Mauritius,Sub Saharan Africa,74.0,5.5,33.1,3.5,17%,66.7,5.1,27.4, $9114 , 1255882 ,35.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,Mexico,Americas,76.4,7.3,44.3,2.9,19%,66.3,6.8,40.7, $9703 , 122070963 ,48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,136,Mongolia,Asia Pacific,68.6,4.9,25.3,6.1,22%,56.9,4.6,14.3, $4377 , 2808339 ,33.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,78,Montenegro,Post-communist,75.8,5.2,32.1,3.8,16%,71.8,4.6,25.1, $6587 , 620601 ,32.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,Morocco,Middle East and North Africa,73.4,5.0,26.7,1.7,25%,61.6,4.5,32.7, $2931 , 32984190 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,88,Mozambique,Sub Saharan Africa,54.3,5.0,15.0,0.9,43%,34.5,4.5,23.7, $565 , 25732928 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,81,Myanmar,Asia Pacific,65.5,4.4,18.8,1.4,32%,48.4,4.0,24.7, $1421 , 52543841 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,103,Namibia,Sub Saharan Africa,64.0,4.7,21.3,2.5,26%,50.1,4.4,21.6, $5680 , 2291645 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42,Nepal,Asia Pacific,68.8,4.2,20.2,1.0,27%,55.3,3.8,30.5, $685 , 27500515 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,Netherlands,Europe,81.2,7.5,57.0,5.3,4%,78.2,7.5,35.3, $49475 , 16754962 ,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38,New Zealand,Asia Pacific,81.4,7.2,52.7,5.6,8%,77.7,6.9,31.3, $39505 , 4408100 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,Nicaragua,Americas,74.3,5.4,29.2,1.4,25%,63.4,4.8,38.7, $1780 , 5877034 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,122,Niger,Sub Saharan Africa,60.0,3.8,13.1,1.6,40%,38.9,3.5,16.8, $394 , 17635782 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,95,Nigeria,Sub Saharan Africa,52.1,5.5,15.5,1.2,44%,30.9,5.2,22.2, $2740 , 168240403 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,Norway,Europe,81.3,7.7,57.1,5.0,7%,78.6,7.4,36.8, $101564 , 5018573 ,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,106,Oman,Middle East and North Africa,76.3,6.9,44.5,7.5,13%,70.9,6.4,21.1, $21534 , 3545192 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36,Pakistan,Asia Pacific,65.7,5.1,19.5,0.8,40%,44.1,4.6,31.5, $1266 , 177392252 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,Palestine,Middle East and North Africa,72.6,4.6,24.5,1.2,24%,62.6,4.1,34.5, $2783 , 4046901 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,Panama,Americas,77.2,6.9,42.1,2.8,19%,68.3,6.3,39.5, $10139 , 3743761 ,51.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,91,Paraguay,Americas,72.6,5.8,31.8,4.2,22%,59.4,5.5,23.3, $3858 , 6379162 ,48.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,Peru,Americas,74.1,5.8,32.9,2.3,21%,63.5,5.3,34.6, $6389 , 30158768 ,45.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,Philippines,Asia Pacific,67.9,5.0,24.1,1.1,26%,56.9,4.4,35.0, $2605 , 96017322 ,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62,Poland,Post-communist,76.9,5.9,39.2,4.4,11%,72.9,5.5,27.5, $13142 , 38063164 ,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,79,Portugal,Europe,80.3,5.0,32.3,3.9,16%,77.2,4.3,24.8, $20577 , 10514844 ,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,115,Republic of Congo,Sub Saharan Africa,61.0,3.9,13.6,1.3,40%,42.0,3.4,18.8, $3191 , 4286188 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55,Romania,Post-communist,74.3,5.2,30.1,2.7,19%,68.1,4.6,28.8, $8577 , 20058035 ,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,116,Russia,Post-communist,69.5,5.6,31.7,5.7,16%,63.4,5.2,18.7, $14079 , 143201676 ,41.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,111,Rwanda,Sub Saharan Africa,63.1,3.3,12.4,0.9,37%,44.3,3.0,19.6, $667 , 10817350 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,Senegal,Sub Saharan Africa,65.4,3.7,15.5,1.2,33%,49.1,3.3,21.9, $1019 , 13780108 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52,Serbia,Post-communist,74.5,5.2,30.3,2.7,19%,68.6,4.6,29.0, $5659 , 7199077 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,133,Sierra Leone,Sub Saharan Africa,49.8,4.5,10.8,1.2,50%,28.2,4.0,15.3, $619 , 6043157 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,59,Slovakia,Post-communist,75.9,5.9,37.9,4.1,13%,71.9,5.4,28.2, $17207 , 5407579 ,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,82,Slovenia,Post-communist,80.0,6.1,42.6,5.8,10%,77.1,5.7,24.6, $22478 , 2057159 ,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,128,South Africa,Sub Saharan Africa,56.3,5.1,18.5,3.3,33%,41.8,4.6,15.9, $7592 , 52341695 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80,South Korea,Asia Pacific,81.3,6.0,42.2,5.7,11%,78.3,5.5,24.8, $24454 , 50004441 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,Spain,Europe,82.2,6.3,45.3,3.7,10%,79.3,5.9,36.0, $28648 , 46773055 ,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28,Sri Lanka,Asia Pacific,74.6,4.2,24.9,1.3,17%,68.6,3.8,33.8, $3351 , 20424000 ,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75,Suriname,Americas,70.8,6.3,35.2,4.3,19%,61.2,5.9,25.4, $9422 , 528535 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,132,Swaziland,Sub Saharan Africa,48.9,4.9,13.6,2.0,41%,31.8,4.4,15.5, $3989 , 1231694 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61,Sweden,Europe,81.8,7.6,57.4,7.3,6%,79.1,7.4,28.0, $57134 , 9519374 ,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,Switzerland,Europe,82.6,7.8,59.3,5.8,6%,79.4,7.6,34.3, $83209 , 7996861 ,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,113,Syria,Middle East and North Africa,70.4,3.2,14.7,1.5,30%,60.2,2.6,19.1, $2080 , 21427155 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,Tajikistan,Post-communist,69.0,4.5,22.2,0.9,26%,53.0,4.3,34.2, $962 , 7930929 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,Tanzania,Sub Saharan Africa,63.5,4.0,16.2,1.3,33%,47.7,3.6,22.1, $828 , 48645709 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,Thailand,Asia Pacific,74.1,6.3,38.6,2.7,15%,66.3,6.0,37.3, $5918 , 67164130 ,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,138,Togo,Sub Saharan Africa,58.6,2.9,9.0,1.1,43%,39.6,2.4,13.2, $580 , 6745581 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,130,Trinidad and Tobago,Americas,70.1,6.4,34.4,7.9,21%,58.4,6.0,15.7, $18322 , 1341579 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,71,Tunisia,Middle East and North Africa,74.6,4.5,25.2,2.3,22%,65.5,4.0,26.2, $4188 , 10777500 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,68,Turkey,Middle East and North Africa,74.7,5.3,31.2,3.3,19%,66.2,4.9,26.4, $10646 , 74099255 ,40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,134,Turkmenistan,Post-communist,65.3,5.5,24.0,5.5,31%,48.3,5.1,14.6, $6798 , 5172941 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,112,Uganda,Sub Saharan Africa,57.1,4.3,13.8,1.2,41%,36.8,3.9,19.4, $656 , 35400620 ,42.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70,Ukraine,Post-communist,70.3,5.0,28.3,2.8,17%,64.2,4.6,26.4, $3855 , 45593300 ,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,34,United Kingdom,Europe,80.4,6.9,49.1,4.9,9%,76.8,6.6,31.9, $41295 , 63700300 ,32.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,108,United States of America,Americas,78.8,7.0,46.8,8.2,13%,74.0,6.5,20.7, $51457 , 314112078 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,Uruguay,Americas,76.9,6.4,39.4,2.9,18%,69.6,5.8,36.1, $15128 , 3396753 ,41.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,51,Uzbekistan,Post-communist,68.2,6.0,27.9,2.3,30%,51.6,5.6,29.1, $1719 , 29774500 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,Vanuatu,Asia Pacific,71.3,6.5,34.9,1.9,22%,60.3,5.9,40.6, $3158 , 247498 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29,Venezuela,Americas,73.9,7.1,41.5,3.6,19%,65.5,6.5,33.6, $12772 , 29854238 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,Vietnam,Asia Pacific,75.5,5.5,32.8,1.7,19%,64.8,5.2,40.3, $1755 , 88809200 ,38.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,94,Yemen,Middle East and North Africa,63.3,4.1,15.2,1.0,39%,44.7,3.6,22.8, $1289 , 24882792 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,77,Zambia,Sub Saharan Africa,58.4,5.0,16.7,1.0,41%,38.7,4.5,25.2, $1687 , 14786581 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,Zimbabwe,Sub Saharan Africa,53.7,5.0,16.4,1.4,37%,36.9,4.6,22.1, $851 , 14565482 ,Data unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Data Sources ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wellbeing,Ladder of Life question in the Gallup World Poll  Latest data for each country as of 2012. except where noted in the Methodology paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Life Expectancy,2012 data prepared by the Population Division of the Department of Economic and Social Affairs of the United Nations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Footprint,NEF estiamtes for 7 countries 2012 data taken from Global Footprint Network for 133 countries (Ecological Footprint data © Global Footprint Network 2016 National Footprint Accounts. 2016 Edition Licensed and provided solely for non-commercial informational purposes Contact Global Footprint Network at wwwfootprintnetworkorg to obtain more information or obtain rights to use this and/or other data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Inequality of Outcomes,Calculated by NEF using UNDP methodology using 2012 life expectancy data prepared by the Population Division of the Department of Economic and Social Affairs of the United Nations. and Gallup World Poll experienced wellbeing data from 2012. except where noted in the Methodology paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GDP/capita
($PPP)",2012 data (or nearest available year)  World Development Indicators. The World Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Population,2012 data (or nearest available year)  World Development Indicators. The World Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GINI,2012 data (or nearest available year)  World Development Indicators. The World Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,For further information about the data sources and calculation methodology. please see the Methodology paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
